Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
r_base_link,-0.00171664715226715,-7.60146921452102E-05,0.0795784130733925,0,0,0,0.640548028870977,0.000598971964889212,1.86164377832369E-06,-4.15140660547643E-06,0.000469779024452203,9.13428071917767E-08,0.000281581133822564,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/r_base_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/r_base_link.STL,,法兰franka_R_R-1;plam_r-1,r_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thumb_1,0.00173304322915754,0.00982857619697067,-0.00584336388499718,0,0,0,0.00466740407055572,1.81485367928845E-07,-5.10747776064284E-09,-8.71506680949164E-10,1.53420004559657E-07,-4.94256286858945E-09,1.57495480691153E-07,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_1.STL,,DMZ0219_L_R-1/拇指基座_L_R-1,l_1,a_1,right_thumb_1_joint,revolute,0.02101,0.0269,0.0826,0,0,0,r_base_link,0,0,1,1,2,0,1,,,,,,,,
right_thumb_2,-0.0295558445916271,0.0118815542806718,0.00597739063842782,0,0,0,0.0385554861475943,1.01639190613681E-05,2.86409651516819E-06,-1.6380365765676E-06,1.30682656357696E-05,5.00459111512285E-07,1.91578296898123E-05,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_2.STL,,DMZ0219_L_R-1/拇指近端橡胶V2.0_L_R-1;DMZ0219_L_R-1/拇指近端外壳B-V2.0_L_R-1;DMZ0219_L_R-1/拇指近端外壳A-V2.0_L_R-1;DMZ0219_L_R-1/拇指近端橡胶V2.0-0529_L_R-1,l_2,a_2,right_thumb_2_joint,revolute,0.013438,0.012862,-0.0076,1.5708,0,-1.5708,right_thumb_1,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_3,-0.0120266284645432,-0.000597309645779253,0.00906065285946818,0,0,0,0.0134343727200358,1.79828525828797E-06,2.05448537551036E-07,-1.23728886538176E-07,1.2695159835182E-06,3.50331275014071E-08,2.48090611406257E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_3.STL,,DMZ0219_L_R-1/拇指中节橡胶V2.0_L_R-1;DMZ0219_L_R-1/拇指中节外壳B-V2.0_L_R-1;DMZ0219_L_R-1/拇指中节外壳A-V2.0_L_R-2,l_3,a_3,right_thumb_3_joint,revolute,-0.052954,0.032799,-0.0093372,0,0,0,right_thumb_2,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_force_sensor_2,6.77003975447232E-05,-0.000236985202900622,-0.000558267741289802,0,0,0,0.000119024197892742,1.02244976989544E-09,-6.74105007093882E-13,1.14255898493088E-12,9.97039736805973E-10,8.16377458719893E-12,1.99065057325864E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_2.STL,,DMZ0219_L_R-1/拇指中节传感器_L_R-1,r_thumb_force_sensor_2,,right_thumb_force_sensor_2_joint,fixed,-0.0080057,0.016443,0.0096921,-1.041,1.3851,-0.037357,right_thumb_3,0,0,0,,,,,,,,,,,,
right_thumb_4,-0.0148215502175569,0.00747561308470104,0.00753990033482453,0,0,0,0.0183095349526632,2.43583351876561E-06,4.39636291663748E-07,2.65758174673174E-08,1.25014953196417E-06,7.75510264795878E-08,2.28973533253484E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_4.STL,,DMZ0219_L_R-1/拇指指尖外壳V2.0-0529_L_R-2;DMZ0219_L_R-1/拇指指尖橡胶V2.0_L_R-1,l_4,a_4,right_thumb_4_joint,revolute,-0.01865,0.013373,-0.0022731,0,0,0,right_thumb_3,0.17365,0,-0.98481,1,2,0,1,,,,,,,,
right_thumb_force_sensor_3,-2.5107148976522E-07,-0.000696658150200272,-0.000425102019813717,0,0,0,0.000169893832350008,3.91696226730879E-09,2.31955134207114E-14,-2.76639995099469E-13,1.41883536310886E-09,1.72950699351221E-10,5.29525439677812E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_3.STL,,DMZ0219_L_R-1/拇指指尖传感器2_L_R-1,r_thumb_force_sensor_3,,right_thumb_force_sensor_3_joint,fixed,-0.0076345,0.020486,0.0088067,-0.64083,1.3963,4.2914E-05,right_thumb_4,0,0,0,,,,,,,,,,,,
right_thumb_force_sensor_4,-1.51405730541843E-06,0.000421607186812417,-0.000751976299815514,0,0,0,1.66991205082656E-05,2.25773453689085E-11,2.49446980592743E-15,5.29906678520083E-15,2.30774509490307E-11,-1.74397529562654E-13,4.31637430427715E-11,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_4.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_4.STL,,DMZ0219_L_R-1/拇指指尖传感器1_L_R-1,r_thumb_force_sensor_4,,right_thumb_force_sensor_4_joint,fixed,-0.01883,0.027914,0.0068326,-1.7492,1.3963,0.0014317,right_thumb_4,0,0,0,,,,,,,,,,,,
right_thumb_force_sensor_1,0.000311386521466103,-9.39437134603871E-05,-0.000511449075416441,0,0,0,0.000234345870584151,6.81918457897941E-09,-1.59551743941395E-10,1.72192450240045E-11,2.92367232191599E-09,1.80000539194822E-10,9.68890809981099E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_thumb_force_sensor_1.STL,,DMZ0219_L_R-1/拇指近端传感器_L_R-1,r_thumb_force_sensor_1,,right_thumb_force_sensor_1_joint,fixed,-0.023424,0.033251,0.007073,-0.99905,1.4338,0.13409,right_thumb_2,0,0,0,,,,,,,,,,,,
right_index_1,0.00219417482969624,0.0127409366565625,0.00664941200246508,0,0,0,0.0182957332404882,3.0553604237672E-06,-1.98142939617322E-07,2.75732035116215E-11,1.48580451846943E-06,-6.65791246264007E-11,3.17206268978428E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_1.STL,,中节组合_R_R-2,l_5,a_5,right_index_1_joint,revolute,0.00056467,0.038679,0.1564,1.5359,0,0,r_base_link,0,0,1,1,2,0,1,,,,,,,,
